Mass,RT
204.1148,3.35
204.1358,4.77
204.136,3.55
204.1874,7.92
204.9739,3.63
204.998,1.14
205.9803,3.33
205.9963,4.86
205.9984,1.15
206.0361,2.37
206.0589,2.18
206.0943,2.54
206.0944,3.44
206.1304,3.88
206.1304,6.12
206.1305,5.35
207.0113,1.07
207.0943,1.15
207.1127,1.12
207.1127,3.71
207.1258,5.12
207.9772,3.34
207.9879,1.15
207.9954,3.12
208.0193,3.31
208.0762,2.96
208.0764,3.86
208.0765,2.36
208.1096,3.04
208.11,5.05
208.1103,4.57
208.1823,5.37
209.1133,5.15
209.1172,4.52
209.1177,5.3
209.6196,5.31
209.9834,10.51
210.0152,3.3
210.0524,1.28
210.0729,2.34
210.0734,3.37
210.0741,5.18
210.0909,2.5
210.0919,2.95
210.0921,3.92
210.0923,5.13
210.102,3.55
210.1254,3.29
210.1617,4.83
210.1617,7.22
210.1618,7.88
211.079,2.49
211.1289,4.05
212.0505,4.05
212.0633,3.7
212.0834,3.09
212.088,3.92
212.0883,3.04
212.1046,2.75
212.1046,2.95
212.1396,6.6
212.141,3.96
212.141,4.51
212.141,7.61
212.1767,5.13
212.1773,8
212.9715,3.08
213.0458,3.61
213.0529,4.05
213.0821,6.87
213.1096,3.06
213.1365,2.82
213.144,3.83
213.986,5.04
213.9864,3.11
214.0027,4.29
214.0192,3.7
214.0299,2.45
214.0394,4.1
214.0478,3.91
214.0629,10.56
214.0631,3.28
214.0661,4.26
214.0665,2.9
214.0839,1.17
214.0841,2.4
214.0992,4.14
214.1203,3.06
214.1204,1.11
214.1204,4.47
214.1567,4.43
214.1567,5.2
214.193,8.38
214.193,9.02
214.9709,2.79
214.9897,3.11
215.0692,4.26
215.142,6.98
215.1513,10.97
215.1516,10.19
215.152,3.04
215.1599,5.28
215.1964,9.04
215.9909,3.11
216.0366,4.1
216.078,3.14
216.0818,4.03
216.0909,4.32
216.0995,2.51
216.1076,3.5
216.1175,3.93
216.1359,3.75
216.136,1.21
216.136,3.37
216.1553,10.14
216.1722,5.49
216.1723,4.78
216.967,2.79
217.1155,3.57
217.1755,5.77
217.9968,5.57
218.0102,2.03
218.0585,2.89
218.0855,2.22
218.0967,3.85
218.1154,3.33
218.1302,6.93
218.1512,3.55
218.1881,8.32
219.0136,2.38
219.0137,1.89
219.9692,3.93
219.9932,4.33
219.9932,5.53
219.9932,6.22
220.0135,1.63
