Mass,RT
297.1293,3.37
297.1646,3.55
297.2016,9.2
297.2663,8.73
297.2664,9.78
297.9296,4.84
297.9544,5.32
297.9849,5.7
297.985,6.95
297.9852,4.44
298.054,8.63
298.054,10.78
298.0542,6.6
298.0544,8.12
298.0698,1.09
298.0856,3.53
298.0875,2.69
298.0914,8.34
298.096,3.07
298.1048,2.52
298.1051,1.08
298.1086,9.65
298.1213,3.38
298.1217,4.28
298.1413,2.67
298.1414,3.27
298.1415,3.73
298.159,4.93
298.1598,3.5
298.16,7.54
298.16,10.55
298.1776,4.45
298.1776,5.22
298.2136,5.18
298.2138,6.37
298.2502,10.58
298.2504,8.07
298.2504,8.63
298.2504,9.19
298.2852,10.82
298.9659,6.1
298.9673,4.89
299.0545,10.79
299.0546,8.64
299.0548,6.61
299.0901,2.65
299.1054,1.1
299.1442,3.5
299.1633,7.55
299.1811,4.11
299.2502,8.56
299.2534,10.56
299.2539,8.06
299.9269,4.84
299.95,5.26
299.9671,5.71
299.9821,5.58
300.0028,5.26
300.0134,1.61
300.022,3.99
300.0333,10.19
300.0334,8.02
300.0334,10.92
300.0335,8.71
300.0514,8.13
300.0514,8.64
300.0514,10.77
300.0519,6.59
300.0638,3.34
300.064,2.33
300.0674,1.15
300.0846,1.08
300.0878,6.82
300.0878,7.64
300.0965,2.97
300.1026,3.18
300.1058,5.16
300.1131,2.57
300.1201,2.44
300.1206,1.08
300.1209,3.64
300.1365,3.83
300.1372,4.6
300.1405,3.6
300.1566,1.16
300.1569,4.38
300.1571,3.24
300.1574,10.54
300.1577,7.54
300.1931,4.96
300.1932,4.38
300.2086,9.42
300.2296,10.25
300.2297,8.64
300.2659,10.69
300.2661,8.68
300.9623,6.09
301.031,4.21
301.0335,10.93
301.0339,8.03
301.0341,8.71
301.0514,6.6
301.0822,1.1
301.0889,7.64
301.097,2.57
301.1372,3.48
301.16,3.32
301.1964,4.42
301.2029,6.09
301.212,9.42
301.9466,5.26
301.997,5.31
302.014,2.64
302.0188,4.05
302.0267,2
302.031,8.02
302.0311,8.7
302.0313,10.93
302.0409,4.1
302.0512,10.9
302.0799,1.12
302.0803,2.76
302.0842,1.13
302.0859,7.64
302.0994,1.09
302.1105,2.56
302.1115,1.17
302.1162,4.24
302.1163,3.33
302.136,1.09
302.1367,3.16
302.1518,3.7
302.1519,4.7
302.1724,3.57
302.1726,4.34
302.2088,3.87
302.219,4.54
302.2231,5.32
302.2238,9.75
302.224,10.46
302.2451,7.53
302.2453,10.51
302.9602,5.27
302.97,5.43
302.9913,5.4
302.9914,6.17
302.9915,7.73
303.0862,7.65
303.9476,5.35
304.0135,4.45
304.0371,4.06
304.0766,4.74
304.077,3.72
304.0813,1.1
304.0948,1.1
304.0962,2.67
304.1146,1.1
304.1313,3.45
304.1315,4.04
304.167,3.74
304.167,4.09
304.1875,3.77
304.189,4.32
304.2031,5.81
304.2247,3.68
304.2395,10.44
305.1308,2.9
305.1918,3.79
305.9506,5.2
305.9577,1.09
306.0151,4.08
306.0301,4.47
306.0754,1.08
306.0762,2.54
306.1108,1.11
306.1109,2.76
306.111,3.29
306.1463,2.84
306.1464,3.48
306.1467,4.13
306.1673,4.1
306.1678,2.89
306.1827,4.12
306.1827,4.82
306.1829,5.75
306.185,6.44
306.1859,10.8
306.186,7.63
306.2042,10.69
306.2216,10.52
306.2221,8.04
306.2553,10.9
306.4517,5.21
306.9487,5.21
306.9747,4.13
307.115,2.81
307.1416,10.81
307.146,2.87
307.149,3.59
307.4824,5.78
307.9856,5.44
307.9894,5.29
307.995,3.91
308.0098,4.17
308.068,6.26
308.0903,1.08
308.0905,2.52
308.1257,1.1
308.1258,2.72
308.1259,3.27
308.1259,4.07
308.1624,3.79
308.1624,4.03
308.183,3.91
308.1985,9.31
308.199,5.82
308.2009,6.63
308.2018,10.67
308.2204,8.13
308.2344,10.36
308.9714,4.12
309.0936,2.47
309.1207,2.72
309.1236,1.11
309.1239,2.52
309.1617,5.5
309.2018,9.3
309.2294,6.68
309.23,8.23
309.9845,5.4
309.99,4.26
310.005,4.87
310.0697,1.08
310.0846,2.72
310.1051,1.08
310.1055,2.49
310.107,3.12
310.1078,3.76
310.1412,1.11
310.1412,3.27
310.1414,2.76
310.1416,4.24
310.1597,7.33
310.163,5.6
310.1777,4.19
310.1777,4.74
310.1777,5.42
310.1779,10.64
310.181,8.06
310.191,6.6
310.1982,3.91
310.2116,9.83
310.2125,10.6
310.2126,5.11
310.2136,3.66
310.2137,6.08
310.2139,6.62
310.2333,8.32
310.2865,10.16
310.2869,10.88
310.4605,5.91
310.952,4.53
310.9682,5.43
311.1035,1.11
311.1114,3.23
311.1405,1.15
311.1439,3.24
311.18,3.69
311.1811,10.58
311.1813,5.14
311.2151,9.83
311.2414,8.28
311.2456,7.25
311.2456,9.65
311.9493,3.8
311.9502,5.51
311.9503,2.03
311.9516,4.53
311.9679,4.26
311.984,5.01
312.0757,1.16
312.0846,1.1
312.102,4.03
312.1032,3
312.1053,10.89
312.1069,3.26
312.1202,3.4
312.1207,1.09
312.1208,2.62
312.1224,3.95
312.1386,5.3
312.1566,1.13
312.1569,3.66
312.157,2.58
312.1752,4.75
312.1752,5.43
312.1752,6.23
312.1754,7.34
312.1756,8.01
312.1756,10.58
312.1758,3.73
312.1914,9.82
312.1926,5.44
312.193,4.73
312.1934,5.98
312.212,9.99
312.2296,5.67
312.2297,6.67
312.2298,7.11
312.277,6.32
312.4519,5.45
312.9206,5.14
312.9489,4.52
312.9535,1.95
312.9655,5.17
313.1223,1.09
313.1245,2.65
313.1245,3.08
313.1601,3.34
313.1602,1.73
313.1767,7.99
313.1944,3.97
313.1967,5.42
313.2612,10.33
313.2613,5.81
313.3058,10.46
313.6961,4.02
313.9464,1.96
313.9478,5.39
313.9798,5.19
313.9799,4.66
313.9815,4.07
313.9962,5.77
314.0492,9.42
314.0492,10.14
314.0635,1.08
314.0747,1.14
314.0787,7.04
314.0853,3.15
314.0853,8.64
314.0853,9.98
314.0853,10.73
314.0855,6.78
314.0912,1.2
314.0925,2.66
314.0998,2.36
314.0999,1.09
314.1161,3.27
314.1165,3.96
314.1185,6.58
314.1361,2.52
314.1361,3.05
314.1363,1.09
314.1522,4.02
314.1523,4.6
314.1534,7.31
314.1542,5.4
314.1724,3.45
314.173,5.1
314.1739,10.58
314.174,8
314.1749,7
314.1878,6.96
314.1999,9.86
314.2084,5.3
314.2235,9.88
314.2268,10.66
314.2452,10.25
314.2453,5.92
314.2453,8.61
314.2454,6.4
314.2454,7.39
314.264,5.99
314.2645,10.33
314.4489,5.23
314.9455,5.47
314.9743,5.36
314.9833,5.2
315.0503,9.42
315.086,10.84
315.0861,8.64
315.0954,2.6
315.1045,10.91
315.1106,2.39
315.114,4.5
315.1216,6.58
315.1343,3.39
315.1438,3.45
315.1503,3.71
315.1756,3.79
315.1762,1.16
315.2273,9.83
315.2326,10.6
315.2482,10.25
315.945,5.61
315.9689,5.51
315.9864,5.2
315.996,4.89
316.0598,2.67
316.0649,7.14
316.0776,1.11
316.0832,10.82
316.0833,6.62
316.0833,8.64
316.0834,8.67
316.084,3.12
316.0892,1.12
316.0903,2.64
316.095,3.47
316.0957,2.67
316.107,2.68
316.1148,2.36
316.1149,3.22
316.1151,1.09
316.1315,4.4
316.1318,3.43
316.1515,1.11
316.1518,3.3
316.1669,4
316.1671,5.01
316.1876,2.98
316.1878,3.88
316.2031,6.09
316.2034,7.06
316.2166,10.59
316.2361,6.21
316.2394,10.41
316.2571,5.96
316.2603,10.99
316.261,10.39
316.2611,6.84
316.2614,8.72
316.4703,5.43
317.0152,4.34
317.0835,5.81
317.0836,8.64
317.0837,10.85
317.1317,2.73
317.1974,5.17
317.2294,10.59
317.2485,8.51
317.2627,8.58
317.2654,6.82
317.9146,8.84
317.9147,4.41
317.9416,5.63
317.9576,1.52
317.9901,6.81
317.9928,5.17
317.993,4.47
317.9937,6.26
318.0115,1.44
318.0146,4.52
318.0348,3.86
318.0628,6.93
318.081,10.86
318.0813,8.64
318.1118,1.12
318.1121,2.74
318.1122,3.31
318.1228,2.39
318.1459,4.6
318.1467,3.59
318.1826,4.45
318.1829,5.09
318.2041,2.79
318.2042,2.12
318.2146,10.56
318.2191,7.27
318.2192,7.97
318.2554,10.55
319.0796,10.94
319.145,1.16
319.1457,3.49
319.1544,5.37
319.9478,5.36
319.972,5.34
319.9733,1.16
319.9868,5.76
319.9869,4.74
319.987,10.6
319.9874,6.88
320.0087,4.93
320.0092,1.45
320.0097,4.36
320.0315,4.29
320.0907,1.09
320.091,2.5
320.1264,3.06
320.1442,6.79
320.162,3.83
320.1831,3.23
320.1981,4.41
320.1982,5.08
320.1992,6.48
320.2002,7.01
320.2191,2.67
320.2192,4.91
320.2196,7.82
320.2303,7.38
320.2343,7.72
320.2374,8.61
320.9468,5.35
320.9626,5.48
320.99,4.54
320.9902,5.87
321.1383,1.15
321.1474,6.79
321.1612,5.59
321.2,4.82
321.2228,4.84
321.2306,7.53
321.9534,5.5
321.9684,5.48
322.0043,5.22
322.0266,4.16
322.0688,6.86
322.0698,10.77
322.0702,1.1
322.1058,1.08
322.106,2.62
322.1413,3.39
322.1413,4.19
322.1622,2.39
322.1776,3.82
322.1782,4.36
322.1987,3.11
322.2114,9.5
322.2116,10.32
322.215,6.55
322.2165,7.81
322.2171,9.42
322.2272,7.22
322.2369,8.56
322.2479,8.64
322.2498,10.58
322.9526,5.51
323.0928,2.42
323.1436,1.12
323.1767,6.01
323.1773,3.46
323.1807,4.66
323.2162,9.46
323.2456,7.05
323.95,2.69
323.9504,5.45
323.9674,5.49
323.9838,5.46
324.0206,4.9
324.0207,4.87
324.0851,1.08
324.1003,3.06
324.1208,1.09
324.1209,2.78
324.1569,3.25
324.1785,7.84
324.1931,4.22
324.1934,4.8
324.1957,8.55
324.1966,9.83
324.2143,9.41
324.2274,10.52
324.2294,5.47
324.2296,7.45
324.964,5.64
324.9816,5.35
325.1269,3.36
325.1598,3.85
325.1961,4.21
325.1961,5.16
325.1978,9.83
325.2289,10.52
325.2319,7.56
325.2614,10.6
325.949,5.52
325.9492,4.86
325.9496,1.04
325.9798,2.51
325.9798,5.56
325.985,3.94
325.9998,5.41
326.0803,2.51
326.0853,10.72
326.0854,7.8
326.0855,9.04
326.1003,1.09
326.1003,2.51
326.1362,1.09
326.1362,4.21
326.1363,2.55
326.1363,2.87
326.1533,4.74
326.1543,5.74
326.1719,1.15
326.1725,2.8
326.1725,3.57
326.1726,4.37
326.1726,5.76
326.1897,6.55
326.1907,5.07
326.1908,4.76
326.1908,5.94
326.1912,8.38
326.1912,9.66
326.1913,7.75
326.1953,9.97
326.2087,4.56
326.2089,8.96
326.209,7.21
326.2451,6.97
326.2453,10.57
326.2454,7.52
326.9469,4.77
326.9525,1.05
326.9608,6.41
326.9613,5.69
326.9889,3.75
326.9973,8.49
327.0713,4.88
327.0713,5.48
327.0859,9.03
327.086,10.71
327.1179,1.22
327.137,1.09
327.2118,7.16
327.2121,4.49
327.2123,8.91
327.2406,4.23
327.2407,5.13
327.2769,10.78
327.2774,8.51
327.9448,3.71
327.9452,5.59
327.9461,4.72
327.9736,5.46
327.9813,4.97
327.9817,10.57
327.9825,3.75
327.9954,5.43
328,8.49
328.0649,8.82
328.0743,4.89
328.0798,1.08
328.0832,10.72
328.0834,9.03
328.0835,7.8
328.0941,7.78
328.0968,3.79
328.1011,10.67
328.1156,2.5
328.1157,1.11
328.1169,3.04
328.1251,3.36
328.133,4.23
328.1341,6.07
328.1517,2.39
328.1519,1.11
328.1519,3.51
328.1697,5.76
328.1702,10.54
328.1709,7.81
328.1878,3.9
328.1878,4.37
328.1895,10.59
328.1899,8.38
328.2242,4.87
328.2242,5.4
328.2245,5.77
328.2398,10.23
328.2608,8.95
328.2614,10.51
328.2971,9.79
328.9467,5.6
328.954,5.64
328.9849,4.96
328.9934,8.49
329.0649,8.82
329.0835,7.79
329.095,7.76
329.1161,1.09
329.1298,4.49
329.1371,6.11
329.1912,8.39
329.2562,6.87
329.9497,2.84
329.9504,5.39
329.9595,4.86
329.97,5.54
329.9748,5.46
329.9819,5.04
329.9877,4.95
330.0086,2.09
330.0773,1.1
330.0809,7.78
330.0933,2.49
330.094,1.08
330.0994,10.73
330.1098,2.66
330.1126,1.11
330.1136,3.53
330.1137,2.93
330.1232,2.8
330.1314,1.09
330.1314,2.42
330.1321,3.02
330.1467,4.45
330.1468,3.56
330.1644,4.65
330.1672,3.43
330.1807,7.92
330.182,5.38
330.1824,5.14
330.1826,4.79
330.2032,4.38
330.2032,5.35
330.2194,7.16
330.2402,4.9
330.2404,8.13
330.2554,10.75
330.277,10.79
330.9487,10.62
330.9488,5.61
330.9495,4.57
331.1072,2.63
331.1155,2.63
331.1708,3.57
331.2386,4.79
331.2589,10.77
331.4502,5.6
331.9469,2.84
331.9561,5.33
331.9849,4.95
331.9861,6
331.9869,3.77
332.0521,4.52
332.0914,1.1
332.0919,3.11
332.0922,2.36
332.1263,1.11
332.1267,3.29
332.1424,3.76
332.1621,3.66
332.1622,4.34
332.1822,3.4
332.1832,4.07
332.1961,8.45
332.198,4.42
332.1982,5.3
332.2345,10.61
332.2548,5.25
332.2561,7.61
332.4488,5.59
333.0915,2.85
333.9444,2.84
333.9469,5.53
333.9522,5.36
333.9864,7.45
333.989,1.47
333.99,5.33
334.0099,4.75
334.0697,1.09
334.0879,3.43
334.106,1.1
334.1067,3.03
334.1417,3.22
334.1417,3.43
334.1626,2.75
334.1627,5.16
334.1769,5.51
334.1776,3.86
334.1776,4.66
334.1881,6.99
334.2111,9.38
334.214,5.82
334.2144,6.44
334.216,7.26
334.2266,8.28
334.2857,10.78
334.9922,1.46
335.006,4.96
335.1401,3.14
335.1795,3.86
335.9508,5.54
335.982,6.62
335.9839,6.05
335.984,4.28
335.9873,1.5
336.0055,4.73
336.0262,4.1
336.0531,1.09
336.0581,7.58
336.0864,1.08
336.1,4.14
336.1209,1.09
336.1212,2.83
336.1363,3.49
336.1571,2.89
336.1571,3.46
336.1933,4.29
336.1936,4.82
336.2138,4.32
336.2273,10.24
336.2295,5.7
336.2296,5.27
336.2427,8.69
336.9488,5.7
337.0034,4.98
337.0611,7.57
337.1027,4.12
337.1263,3.14
337.1499,3.37
337.1591,3.38
337.1952,5.09
337.2304,10.23
337.2613,10.07
337.4501,5.61
337.9485,1.12
337.9637,5.54
337.9705,5.48
337.9799,6.51
337.982,1.48
337.9963,6.83
338.0004,4.96
338.0073,5.41
338.02,3.59
338.0221,4.45
338.1005,1.12
338.1005,2.54
338.1006,1.92
338.1363,1.09
338.1364,2.95
338.1724,3.54
338.1725,2.82
338.1725,4.03
338.2051,8.03
338.2065,10.29
338.2085,4.28
338.2089,4.96
338.2089,5.14
338.2105,10.46
338.2127,9.01
338.2396,8.62
338.2429,10.96
338.2434,6.67
338.2436,6.14
338.2443,7.76
338.2645,10.06
338.9464,5.94
338.9623,5.56
338.9842,6.5
339.0004,6.83
339.1365,1.1
339.1715,6.71
339.1721,5.5
339.1751,3.91
339.1753,3.16
339.2768,10.59
339.9452,5.92
339.9712,5.76
339.9788,1.34
339.9956,5.56
340.0007,4.46
340.0169,4.69
340.0801,1.1
340.1156,1.09
340.1159,2.53
340.1327,2.81
340.1516,3.27
340.1519,1.1
340.152,2.74
340.1671,5.66
340.1703,6.26
340.1881,3.72
340.1913,7.34
340.2017,3.79
340.2068,10.56
340.2069,8.82
340.2074,5.12
340.2075,4.56
340.223,6.33
340.2235,5.45
340.2236,5.25
340.2393,10.85
340.2608,10.4
340.4712,5.96
340.9673,5.85
341.027,8.43
341.116,1.09
341.2101,8.82
341.2106,10.56
341.2555,5.39
341.2561,9.28
341.2916,10.58
341.4687,5.76
341.9447,1.46
341.9748,5.45
341.9785,4.66
342.0107,5.52
342.0111,4.98
342.095,1.08
342.1137,3.83
342.1311,1.09
342.1312,2.49
342.1313,3.37
342.1386,3.63
342.1478,3.57
342.1489,4.51
342.1669,1.13
342.1674,2.36
342.1674,3.48
342.1828,10.52
342.1863,6.28
342.1868,7.18
342.1888,2.48
342.2035,4.79
342.2036,3.98
342.204,10.71
342.2057,8.83
342.2198,7.97
342.2513,4.45
342.2584,9.27
342.2767,10.46
342.2769,8.92
342.2772,8.22
342.2952,10.6
342.2959,9.17
342.2961,8.46
342.7167,4.34
342.9479,5.58
343.1308,1.1
343.1697,3.76
343.2357,5.48
343.2719,8.75
343.2719,9.77
343.279,8.23
343.2797,10.47
343.3082,10.99
343.9564,5.58
343.9566,2.26
343.9566,2.77
343.9666,5.57
343.9749,6.04
343.9765,3.71
343.9767,4.61
343.9902,5.1
344.0909,1.1
344.0957,8.98
344.0958,10.82
344.0962,7.81
344.1104,1.08
344.1149,7.2
344.1192,2.41
344.1225,1.16
344.1267,3.48
344.1289,4.07
344.1359,3.27
344.1447,3.55
344.1462,2.67
344.1465,1.09
344.1485,3.25
344.1627,3.98
344.1658,7.87
344.1757,8.92
344.1789,10.51
344.1826,3.68
344.1831,4.89
344.1853,6.2
344.1985,4.98
344.2191,5.09
344.2351,7.69
344.2557,6.76
344.2922,8.91
344.2924,6.59
344.9464,5.7
344.9715,5.56
345.0965,10.84
345.0966,7.81
345.1214,2.87
345.1588,3.53
345.2067,8.45
345.2507,5.46
345.2514,7.41
345.2582,6.64
345.2955,8.91
345.4477,5.63
345.945,5.71
345.9715,6.06
345.9859,5.74
345.9862,4.95
345.9863,4.33
346.0065,1.14
346.0392,8.03
346.0943,7.81
346.1061,1.1
346.1068,3.16
346.1075,2.63
346.1249,1.1
346.1415,3.41
346.1419,4.45
346.1444,5.5
346.1631,3.22
346.1725,8.93
346.1776,3.98
346.1778,4.69
346.193,3.94
346.2134,5.13
346.9521,5.77
346.967,5.85
347.0393,8.03
347.0928,7.81
347.1795,4.16
347.2043,8.38
347.2667,8.52
347.4521,5.67
347.9265,5.61
347.9508,5.83
347.9683,1.1
347.9806,7.16
347.9817,6.05
347.9819,7.7
347.982,4.73
347.9829,5.31
348.0041,1.13
348.0669,3.28
348.0673,2.5
348.0862,2.65
348.0869,1.09
348.1218,1.1
348.1226,3.11
348.1567,2.81
348.157,3.59
348.1715,5.73
348.193,3.9
348.1931,4.39
348.1932,5.58
348.286,9.43
348.9628,6.98
348.9724,1.14
349.0215,5.39
349.1428,5.32
349.6445,5.36
349.9467,6.02
350.0189,4.74
350.0622,8.64
350.0647,2.38
350.1013,1.09
350.1021,2.52
350.1364,1.11
350.1366,2.99
350.1429,5.18
350.1725,3.47
350.1725,3.89
350.1935,3.02
350.2089,4.62
350.2115,10.33
350.212,10.96
350.2429,10.56
350.9467,5.97
350.9593,6.98
351.0971,1.1
351.1384,2.68
351.1404,3.33
351.1455,3.56
351.1732,3.69
351.2092,5.38
351.2113,3.95
351.9435,6.02
351.9607,5.74
351.9807,5.54
351.993,6.03
352.0002,5.26
352.0011,4.58
352.0809,1.09
352.1159,2.51
352.116,1.09
352.1517,1.11
352.1518,2.78
352.1519,3.37
352.1519,3.97
352.1865,5.55
352.1879,3.97
352.188,3.7
352.1882,4.56
352.209,3.13
352.21,10.66
352.224,3.78
352.2244,4.78
352.2245,5.3
352.2252,6.71
352.2265,10.78
352.2269,8.05
352.2588,10.29
352.9458,6.03
352.9969,4.34
353.1089,1.12
353.1156,1.09
353.1207,2.72
353.1503,1.12
353.1539,1.11
353.1863,7.24
353.19,5.35
353.1904,3.72
353.2203,6.64
353.2406,10.49
353.2563,8.69
353.4498,5.93
353.8651,10.16
353.9445,6.05
353.9894,4.72
353.9967,5.24
354.0165,4.48
354.0956,1.07
354.097,2.5
354.1114,3.27
354.1309,4.2
354.1311,1.1
354.1311,3.11
354.1314,2.58
354.1673,2.51
354.1673,3.33
354.1791,5.57
354.1869,7.07
354.2023,2.55
354.2034,3.8
354.2034,4.23
354.2036,4.83
354.204,8.93
354.2066,8.19
354.2074,10.55
354.2196,9.09
354.2236,8.96
354.2267,8.07
354.2386,4.21
354.2389,7.16
354.9536,6
354.9642,5.95
354.9916,8.68
355.164,3.51
355.1695,3.29
355.2073,8.93
355.236,8.27
355.2718,9.3
355.2719,8.4
355.2719,10.54
355.3082,10.45
355.862,10.16
355.9472,10.6
355.9473,5.92
355.9913,5.36
356.0077,4
356.0127,4.97
356.013,4.08
356.0751,1.08
356.0959,9.11
356.096,10.05
356.1108,1.08
356.1112,2.65
356.1287,3.7
356.129,5
356.1332,3.62
356.1467,1.1
356.1469,2.52
356.1647,5.09
356.1824,1.14
356.1826,3.44
356.1829,2.9
356.197,8.09
356.2014,6.6
356.2069,8.24
356.2187,4.37
356.219,5.4
356.2336,9.27
356.2343,10.62
356.2545,5.4
356.2555,6.41
356.2556,8.32
356.4487,5.94
356.9459,5.94
356.9715,5.02
357.0968,10.95
357.0969,9.1
357.097,10.02
357.2511,9.1
357.2872,9.75
357.2875,8.81
357.4471,5.95
357.8592,10.15
357.9441,5.93
357.9551,2.17
357.9552,1.27
357.9737,5.09
357.9859,5.77
357.9875,4.59
357.9914,4.93
358.0028,6.84
358.0061,5.31
358.0067,4.64
358.0212,9.38
358.0745,9.92
358.0893,1.09
358.094,10.94
358.0941,10.04
358.0942,9.07
358.1051,1.11
358.1065,10.85
358.1078,2.96
358.1082,4.1
358.1267,1.09
358.1352,2.4
358.1419,3.81
358.1469,3.88
358.1481,4.68
358.1567,3.1
358.162,1.1
358.162,2.73
358.1622,3.42
358.1773,3.83
358.1783,4.71
358.1799,5.25
358.1807,7.18
358.1979,3.68
358.1986,4.8
358.2118,9.16
358.2135,5.58
358.9439,5.94
359.0752,9.94
359.1357,2.84
359.1413,2.44
359.1736,4.5
359.2667,9.12
359.3027,9.44
359.9506,5.54
360.0014,5.52
360.0033,4.68
360.0221,1.35
360.0545,8.03
360.0882,1.09
360.0913,8.65
360.1205,1.1
360.1218,2.62
360.1224,3.32
360.1409,1.1
360.1413,2.39
360.1453,3.99
360.1567,3.66
360.1603,7.5
360.1725,5.68
360.1771,3.38
360.1905,5.06
360.1928,4.12
360.1937,6.49
360.1942,7.17
360.2276,10.02
360.2291,5.19
360.2294,5.85
360.2302,6.76
360.2672,9.12
360.2873,8.84
360.9487,5.36
360.9975,5.38
361.0553,8.03
361.1537,3.3
361.9468,6.07
361.9469,10.57
361.9471,3.12
361.9477,4.53
361.9486,3.99
361.984,1.19
362.02,1.38
362.0528,8.03
362.0828,2.67
362.1007,3.54
362.1016,1.08
362.1365,2.88
362.137,1.1
362.1376,4.26
362.1575,3.46
362.1726,3.5
362.1726,3.89
362.1741,7.29
362.187,2.73
362.2085,4.58
362.2085,5.23
362.2429,10.58
362.2452,6.57
362.2664,10.43
362.3022,10.06
362.4484,5.86
362.9468,6.01
362.962,5.86
362.9872,1.17
363.1371,3.25
363.1733,4.18
363.1735,3.17
363.2464,10.58
363.2604,8.76
363.27,10.43
363.4638,5.78
363.9233,5.82
363.9433,3.1
363.9439,6.09
363.9765,5.86
363.9765,10.62
364.0816,1.09
364.1161,1.1
364.1168,2.6
364.1517,4.53
364.1519,3.32
364.1522,2.62
364.174,2.31
364.1881,3.74
364.1881,4.43
364.2088,3.64
364.2093,4.83
364.216,10.41
364.2237,5.14
364.2265,10.62
364.2447,5.4
364.259,9.04
364.4463,6.3
364.944,6.17
364.9802,5.86
365.1522,2.67
365.1851,3.41
365.1861,2.78
365.1882,3.95
365.2137,3.65
365.2298,10.6
365.2493,5.01
365.2642,8.99
365.9423,6.22
365.9658,6.16
365.9777,1.17
365.9908,7.75
366.0962,1.09
366.1137,4.56
366.1313,1.09
366.1314,2.5
366.149,3.53
366.1673,3.4
366.1675,2.56
366.1701,6.48
366.2024,5.81
366.2034,3.95
366.2037,4.88
366.2145,10.39
366.2247,4.77
366.2254,10.7
366.2387,8.85
366.2592,5.43
366.2743,10.55
366.2756,6.98
366.4669,6.07
366.9636,6.18
367.0121,5.02
367.131,1.09
367.1352,2.67
367.171,4.06
367.2062,3.73
367.2066,4.66
367.2275,10.7
367.2472,8.39
367.945,3.94
367.9472,6.01
367.9762,5.16
368.0104,4.91
368.0751,1.1
368.0908,2.47
368.1109,1.09
368.1112,2.46
368.1467,1.08
368.1469,2.79
368.1633,3.67
368.1828,3.39
368.1829,3.94
368.203,8.01
368.219,4.78
368.2191,4.07
368.2195,8.93
368.2226,8.27
368.225,10.69
368.2402,4.67
368.2538,8.91
368.7327,6.38
368.7368,6.38
368.961,5.95
369.1133,1.08
369.1405,3.11
369.1498,3.36
369.1847,3.37
369.2019,7.78
369.223,8.93
369.251,8.26
369.9448,6.05
369.9758,5.89
369.9834,10.58
369.9838,6.32
369.9841,5.41
369.9853,4.68
369.9908,5.31
370.0908,1.08
370.1113,10.72
370.1259,1.08
370.1271,2.63
370.1365,3.49
370.1437,3.55
370.1622,1.1
370.1622,3.37
370.1803,5.4
370.1828,4.55
370.185,7.61
370.198,3.61
370.1999,5.1
370.1999,7.74
370.2136,10.46
370.22,3.05
370.2253,8.93
370.25,10.53
370.2547,8.31
370.2712,7.54
370.4463,6.04
370.9438,6.06
370.9483,6.08
370.9879,10.58
371.0611,4.89
371.0612,5.48
371.1113,10.75
371.2003,3.98
371.2308,8.17
371.2358,4.76
371.267,7.38
371.9505,6.12
371.9658,6.15
371.9871,5.68
372.0075,4.88
372.0641,4.88
372.0643,5.48
372.0707,2.62
372.0728,8.41
372.0728,10.93
372.073,9.83
372.0918,10.65
372.1055,1.09
372.1081,10.76
372.1214,3.44
372.122,2.87
372.1256,3.31
372.127,10.81
372.1313,2.93
372.1349,3.56
372.141,2.4
372.1415,1.09
372.1417,3.44
372.1604,2.88
372.1609,3.88
372.1628,4.47
372.1778,3.75
372.1914,3.83
372.2122,3.72
372.2135,4.26
372.2262,8.43
372.2276,6.91
372.2293,10.49
372.2507,6
372.27,8.68
372.2703,7.35
372.2985,6.32
372.453,6.04
372.9476,6.15
373.0588,5.48
373.0731,9.77
373.0733,10.93
373.2469,6.3
373.2822,6.88
373.2824,8
373.3016,6.33
373.9464,3.76
373.9592,6.05
373.9809,5.88
373.9859,3.96
374.0031,4.73
374.0032,5.41
374.0038,3.83
374.0522,6.58
374.0522,9.42
374.0522,9.86
374.0522,10.88
374.0697,9.64
374.0709,8.41
374.105,1.09
374.1062,9.43
374.1064,8.78
374.1178,1.11
374.1252,10.84
374.1367,3.28
374.1619,4.44
374.1725,3.64
374.1731,4.1
374.1759,7.95
374.2086,4.79
374.2093,3.95
374.2098,7.61
374.2421,7.42
374.244,5.31
374.2483,6.24
374.2667,8.31
374.2858,8.04
375.0524,10.39
375.0526,9.41
375.0527,10.94
375.0528,6.57
375.0532,7.93
375.1065,8.64
375.1071,9.43
375.2965,9.47
375.2981,7.83
375.9449,6.06
375.9454,3.68
375.9465,2
375.9629,2.95
375.9634,5.55
375.9764,6.17
375.9768,10.6
375.98,5.17
375.9805,5.13
375.9973,5.43
375.9995,1.47
376.0167,6.95
376.05,10.91
376.0502,10.14
376.0503,9.52
376.0845,1.1
376.104,8.64
376.1048,9.44
376.116,3.19
376.1164,2.64
376.1165,1.08
376.1239,10.89
376.1344,4.91
376.1521,3.38
376.1875,5.31
376.1879,3.76
376.188,7.6
376.1888,4.49
376.2095,3.81
376.2272,10.58
376.2575,4.37
376.281,4.23
376.282,10.49
376.2823,8
376.299,9.38
376.2997,10.6
376.3014,7.84
376.3179,10.75
376.9442,5.76
376.9583,6.12
376.9835,5.21
376.994,9.1
377.0028,1.44
377.0503,9.41
377.1371,4.93
377.2211,4.76
377.2228,10.56
377.2235,6.47
377.2856,10.47
377.9424,6.24
377.9427,4.2
377.9432,3.41
377.9434,1.97
377.964,5.78
377.973,5.06
377.9765,6.08
377.9811,4.61
377.9874,5.26
377.9912,4.58
377.9919,5.9
378.0018,1.43
